period_start,analytical_period,measure_id,measure_name,measure_value
2024-09-01,recovery,M001,Count_ReferralsReceived,146238.0
2024-09-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,91.9
2024-09-01,recovery,M076,Count_FinishedCourseTreatment,55130.0
2024-09-01,recovery,M192,Percentage_Recovery,50.2
2024-09-01,recovery,M195,Percentage_ReliableRecovery,47.2
2024-10-01,recovery,M001,Count_ReferralsReceived,168013.0
2024-10-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,92.0
2024-10-01,recovery,M076,Count_FinishedCourseTreatment,60534.0
2024-10-01,recovery,M192,Percentage_Recovery,50.1
2024-10-01,recovery,M195,Percentage_ReliableRecovery,47.1
2024-11-01,recovery,M001,Count_ReferralsReceived,149559.0
2024-11-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,91.7
2024-11-01,recovery,M076,Count_FinishedCourseTreatment,54292.0
2024-11-01,recovery,M192,Percentage_Recovery,50.7
2024-11-01,recovery,M195,Percentage_ReliableRecovery,47.6
2024-12-01,recovery,M001,Count_ReferralsReceived,125141.0
2024-12-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,91.2
2024-12-01,recovery,M076,Count_FinishedCourseTreatment,48650.0
2024-12-01,recovery,M192,Percentage_Recovery,50.0
2024-12-01,recovery,M195,Percentage_ReliableRecovery,46.8
2025-01-01,recovery,M001,Count_ReferralsReceived,163748.0
2025-01-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,91.0
2025-01-01,recovery,M076,Count_FinishedCourseTreatment,56781.0
2025-01-01,recovery,M192,Percentage_Recovery,50.6
2025-01-01,recovery,M195,Percentage_ReliableRecovery,47.5
2025-02-01,recovery,M001,Count_ReferralsReceived,148164.0
2025-02-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,90.8
2025-02-01,recovery,M076,Count_FinishedCourseTreatment,52255.0
2025-02-01,recovery,M192,Percentage_Recovery,50.6
2025-02-01,recovery,M195,Percentage_ReliableRecovery,47.4
2025-03-01,recovery,M001,Count_ReferralsReceived,148668.0
2025-03-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,90.5
2025-03-01,recovery,M076,Count_FinishedCourseTreatment,53865.0
2025-03-01,recovery,M192,Percentage_Recovery,51.6
2025-03-01,recovery,M195,Percentage_ReliableRecovery,48.5
2025-04-01,recovery,M001,Count_ReferralsReceived,133908.0
2025-04-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,90.3
2025-04-01,recovery,M076,Count_FinishedCourseTreatment,57359.0
2025-04-01,recovery,M192,Percentage_Recovery,51.3
2025-04-01,recovery,M195,Percentage_ReliableRecovery,48.4
2025-05-01,recovery,M001,Count_ReferralsReceived,137449.0
2025-05-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,90.3
2025-05-01,recovery,M076,Count_FinishedCourseTreatment,55543.0
2025-05-01,recovery,M192,Percentage_Recovery,50.9
2025-05-01,recovery,M195,Percentage_ReliableRecovery,48.0
2025-06-01,recovery,M001,Count_ReferralsReceived,145215.0
2025-06-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,89.1
2025-06-01,recovery,M076,Count_FinishedCourseTreatment,56947.0
2025-06-01,recovery,M192,Percentage_Recovery,50.1
2025-06-01,recovery,M195,Percentage_ReliableRecovery,47.1
2025-07-01,recovery,M001,Count_ReferralsReceived,159042.0
2025-07-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,89.6
2025-07-01,recovery,M076,Count_FinishedCourseTreatment,62183.0
2025-07-01,recovery,M192,Percentage_Recovery,50.1
2025-07-01,recovery,M195,Percentage_ReliableRecovery,47.3
2025-08-01,recovery,M001,Count_ReferralsReceived,132762.0
